Epoch,LR,Total_Loss,Main_BCE,Main_Dice,Aux_BCE,Aux_Dice,Main_IoU,Phase_Time(s)
1,0.0003,1.439099899927775,0.5370621667967902,0.9020377304818895,0.0,0.0,0.14060737180213134,15.939300537109375
2,0.0003,1.1871178097195096,0.3179245329565472,0.869193270471361,0.0,0.0,0.28303718003961775,15.910249710083008
3,0.0003,1.0470876084433662,0.22601685921351114,0.821070749229855,0.0,0.0,0.3097613526715173,15.991451025009155
4,0.0003,0.9391711380746629,0.18164006041155922,0.7575310746828715,0.0,0.0,0.3307137466139264,15.959088563919067
5,0.0003,0.8565653059217665,0.16409951978259615,0.6924657848146226,0.0,0.0,0.34441835383574165,15.855100870132446
6,0.0003,0.783486529191335,0.1565969298283259,0.6268895983695983,0.0,0.0,0.36649084554778205,16.0139639377594
7,0.0003,0.7445180455843607,0.15632361537880368,0.5881944245762295,0.0,0.0,0.37192639973428515,15.918785810470581
8,0.0003,0.6951355947388543,0.15441414150926802,0.5407214476002588,0.0,0.0,0.4008981201383803,15.935044288635254
9,0.0003,0.6732088155216641,0.155027028090424,0.5181817875968086,0.0,0.0,0.4024082190460629,15.939186811447144
10,0.0003,0.6719538397259183,0.15990931590398152,0.5120445231596629,0.0,0.0,0.40649124052789476,15.969522476196289
11,0.0003,0.6445852511458927,0.15818134910530515,0.4864039036962721,0.0,0.0,0.4287301242351532,16.013595581054688
12,0.0003,0.6260650906297895,0.15773238349292013,0.46833271119329667,0.0,0.0,0.44563165969318813,15.924808025360107
13,0.0003,0.6298625535435147,0.16090713640054066,0.4689554174741109,0.0,0.0,0.44562099509769015,16.01463794708252
14,0.0003,0.6148464130030737,0.1596767178012265,0.45516969826486375,0.0,0.0,0.4551909069220225,16.402204990386963
15,0.0003,0.5951007975472344,0.15794038673241934,0.43716041180822585,0.0,0.0,0.4712754468123118,16.019100427627563
16,0.0003,0.5750518679618836,0.15724065345194604,0.4178112122747633,0.0,0.0,0.4900558047824436,15.899732828140259
17,0.0003,0.5538667506641812,0.15208247055610022,0.4017842789491018,0.0,0.0,0.5070426570044624,15.990366697311401
18,0.0003,0.5536074452930027,0.15395187727279133,0.39965557323561773,0.0,0.0,0.505109973748525,15.912928819656372
19,0.0003,0.5482963614993626,0.15559272683329053,0.3927036371495989,0.0,0.0,0.5167656573984358,15.977788209915161
20,0.0003,0.5313294980261061,0.1504321151309543,0.3808973809083303,0.0,0.0,0.5174877206484477,16.010002613067627
21,0.0003,0.5442024356789059,0.15274219918582174,0.3914602339267731,0.0,0.0,0.5156072881486681,16.0475332736969
22,0.0003,0.5240323762098948,0.150795393023226,0.37323698335223726,0.0,0.0,0.5284847736358642,16.252655744552612
23,0.0003,0.5217845016055637,0.1509695902466774,0.3708149115244547,0.0,0.0,0.530280018515057,16.064329624176025
24,0.0003,0.5073491255442302,0.14802804142236708,0.359321086274253,0.0,0.0,0.5392790423499213,15.86152720451355
25,0.0003,0.5090224577320946,0.15002305019232962,0.35899940861596,0.0,0.0,0.555460645755132,15.900351285934448
26,0.0003,0.49264013899697195,0.14632279094722536,0.34631734490394595,0.0,0.0,0.5621032436688741,16.062637329101562
27,0.0003,0.4817418767346276,0.13832521190245947,0.3434166663222843,0.0,0.0,0.5649781286716461,16.068491458892822
28,0.00015,0.4713738567299313,0.1387524835765362,0.33262137439515854,0.0,0.0,0.5755859421359169,15.850680589675903
29,0.00015,0.45276603400707244,0.13324199604491394,0.319524038500256,0.0,0.0,0.5938328550921546,15.894457817077637
30,0.00015,0.4412777039739821,0.1312962052308851,0.30998149315516155,0.0,0.0,0.61155586971177,16.21677279472351
31,0.00015,0.42613048950831095,0.12880160063505172,0.29732889069451224,0.0,0.0,0.6182706170611911,15.893008708953857
32,0.00015,0.43106724951002334,0.12713695909414027,0.30393029054005943,0.0,0.0,0.6173323286904229,15.933845281600952
33,0.00015,0.42364477217197416,0.12419833288424545,0.29944643974304197,0.0,0.0,0.6239872164196438,16.062602996826172
34,0.00015,0.42247697677877216,0.12568592002822293,0.29679105546739365,0.0,0.0,0.6235074712170495,16.03455138206482
35,0.00015,0.4151735421684053,0.12333979217542543,0.2918337497446272,0.0,0.0,0.635158728228675,15.904747724533081
36,0.00015,0.4105525967147615,0.11793605722486973,0.29261654218037925,0.0,0.0,0.6317822297414144,15.86222529411316
37,0.00015,0.40554579628838433,0.1268018571452962,0.27874394125408597,0.0,0.0,0.6440985831949446,16.161779165267944
38,0.00015,0.3972921719153722,0.10942720166511005,0.2878649718231625,0.0,0.0,0.6353653404447768,15.92731761932373
39,0.00015,0.4025635778903961,0.12713990145259432,0.2754236751132541,0.0,0.0,0.6452406697803074,15.888871669769287
40,0.00015,0.3824221130874422,0.10541347828176287,0.2770086341434055,0.0,0.0,0.6521152754624685,16.04455590248108
41,0.00015,0.3956028252840042,0.11811080574989319,0.2774920178784264,0.0,0.0,0.6455750346183777,16.02283477783203
42,0.00015,0.3793755773040983,0.10242587534917726,0.27694969773292544,0.0,0.0,0.6305299626456367,15.88029408454895
43,0.00015,0.37272375954522025,0.1074705657031801,0.2652531928486294,0.0,0.0,0.6322600338194105,15.985135793685913
44,0.00015,0.402109326587783,0.12466075552834405,0.27744856940375434,0.0,0.0,0.6250701738728417,15.953556299209595
45,0.00015,0.41251073976357777,0.12444298105935256,0.288067760070165,0.0,0.0,0.6274217559231652,15.998528718948364
46,0.00015,0.3960054960515764,0.12015440832409593,0.27585108810000947,0.0,0.0,0.6391913758383857,15.88211441040039
47,0.00015,0.38420504563384583,0.11095351585083538,0.2732515301969316,0.0,0.0,0.6441230350070529,16.041353702545166
48,0.00015,0.38400952683554757,0.11268585469159816,0.2713236735926734,0.0,0.0,0.6448029359181722,15.932448387145996
49,0.00015,0.34028520385424293,0.0909939737783538,0.24929123123486838,0.0,0.0,0.6342800246344672,15.962477445602417
50,0.00015,0.3541491038269467,0.10195291315515836,0.2521961867809296,0.0,0.0,0.6400237970881992,15.996356964111328
51,0.00015,0.37950686083899604,0.10063989323874314,0.2788669685522715,0.0,0.0,0.6109643956025441,15.967442750930786
52,0.00015,0.3138487001260122,0.08965322975483206,0.22419547239939372,0.0,0.0,0.6510812428262499,15.930210828781128
53,7.5e-05,0.3524386793375015,0.09457174460921022,0.25786693692207335,0.0,0.0,0.6291086163785723,15.900809288024902
54,7.5e-05,0.39635731975237526,0.11201757854885525,0.28433974120352,0.0,0.0,0.592486768298679,16.022944450378418
55,7.5e-05,0.31208832959334054,0.08165087559156947,0.23043745358784992,0.0,0.0,0.6372289207246569,15.861456871032715
56,7.5e-05,0.31526229050424365,0.08677865535848671,0.2284836365116967,0.0,0.0,0.6523395154211257,15.939863443374634
57,7.5e-05,0.3071270118157069,0.0808809605323606,0.22624604966905382,0.0,0.0,0.6631010280715095,15.952029705047607
58,7.5e-05,0.2890542662805981,0.07871030337280698,0.2103439622455173,0.0,0.0,0.6711245099703471,15.837284803390503
59,7.5e-05,0.29685030281543734,0.0862410571012232,0.21060924728711447,0.0,0.0,0.6784360395537482,15.79395580291748
60,7.5e-05,0.2677086886432436,0.07058025954498184,0.19712842967775132,0.0,0.0,0.6864879846572876,15.956549882888794
61,7.5e-05,0.2760336478551229,0.07689275766412416,0.1991408924261729,0.0,0.0,0.6898395220438639,15.988077878952026
62,7.5e-05,0.2610993080668979,0.06892785028451019,0.1921714570787218,0.0,0.0,0.6993901703092787,15.817345142364502
63,7.5e-05,0.2527558012141122,0.06538893141680294,0.18736686971452501,0.0,0.0,0.7016749593946668,15.781068563461304
64,7.5e-05,0.25236426790555316,0.0673065705017911,0.1850576983557807,0.0,0.0,0.7013820396529303,16.475942850112915
65,7.5e-05,0.27898645848035813,0.085597763914201,0.19338869518703886,0.0,0.0,0.6988860640260909,15.99593734741211
66,7.5e-05,0.24897617283794615,0.06806019581854343,0.18091597623295255,0.0,0.0,0.7136395706070794,15.996192216873169
67,7.5e-05,0.2833731406264835,0.07689090710547235,0.20648223294152154,0.0,0.0,0.6792241281933254,16.081052541732788
68,7.5e-05,0.2973203543159697,0.09356388279961216,0.20375647147496542,0.0,0.0,0.6946463863054911,16.169499397277832
69,3.75e-05,0.25921891729036967,0.06980783206721147,0.18941108385721842,0.0,0.0,0.6988025744756062,16.036120653152466
70,3.75e-05,0.2633247632119391,0.07323981867068344,0.19008494681782193,0.0,0.0,0.6998926401138306,15.99522852897644
71,3.75e-05,0.24591283682319853,0.06723811017970244,0.17867472701602513,0.0,0.0,0.7125678843922085,16.2174391746521
72,3.75e-05,0.23950907323095533,0.06364682436817222,0.17586225006315442,0.0,0.0,0.7159450054168701,16.098699808120728
73,3.75e-05,0.2509232802523507,0.07247688488827811,0.17844639619191488,0.0,0.0,0.7161024928092956,16.009061813354492
74,3.75e-05,0.24861569470829434,0.0662927365137471,0.18232295910517374,0.0,0.0,0.7126692573229472,16.14184260368347
75,3.75e-05,0.25383085939619277,0.07358810276620918,0.18024275766478645,0.0,0.0,0.7123154759407043,16.11705470085144
76,3.75e-05,0.23896472487184736,0.06660297740664747,0.17236174808608162,0.0,0.0,0.7166941457324558,16.0349178314209
77,3.75e-05,0.2344663734237353,0.06346677243709564,0.1709996004899343,0.0,0.0,0.7209624820285373,15.950026988983154
78,3.75e-05,0.24368674092822604,0.06729249908692307,0.17639424204826354,0.0,0.0,0.7235566258430481,16.095885276794434
79,3.75e-05,0.251716305481063,0.0670240675823556,0.1846922390990787,0.0,0.0,0.7147816048728095,16.103929042816162
80,3.75e-05,0.23704382297065524,0.06344082802534104,0.17360299560758802,0.0,0.0,0.720430956946479,16.013468265533447
81,3.75e-05,0.23429480757978227,0.06274000414543682,0.17155480318599278,0.0,0.0,0.7267070041762458,16.143446445465088
82,3.75e-05,0.24305255595180725,0.06777439084317949,0.1752781656053331,0.0,0.0,0.7276726788944669,16.100958585739136
83,3.75e-05,0.224484121799469,0.06000857258008586,0.16447554892963834,0.0,0.0,0.7353357818391588,15.856060266494751
84,3.75e-05,0.22595427682002386,0.05922049524055587,0.1667337821589576,0.0,0.0,0.7303099075953166,15.934751033782959
85,1.875e-05,0.2413243974248568,0.0695822373446491,0.17174215912818908,0.0,0.0,0.7310328470336066,16.04622983932495
86,1.875e-05,0.21688838932249282,0.05500748836331897,0.1618809011247423,0.0,0.0,0.7377177410655551,15.997190237045288
87,1.875e-05,0.21440134661065208,0.054992744409375724,0.15940860178735522,0.0,0.0,0.7370742678642273,15.885883808135986
88,1.875e-05,0.2172301232814789,0.05631376600099935,0.16091635823249817,0.0,0.0,0.7378431783782111,16.011061668395996
89,1.875e-05,0.22694855994648402,0.05852745465106434,0.16842110488149856,0.0,0.0,0.7300402826733059,15.989176034927368
90,1.875e-05,0.21882307777802149,0.0569272523952855,0.16189582612779405,0.0,0.0,0.7349190804693434,16.116661548614502
91,1.875e-05,0.21811279273695416,0.055637711493505375,0.16247507996029323,0.0,0.0,0.7394278274642097,16.116655349731445
