Epoch,LR,Total_Loss,Main_BCE,Main_Dice,Aux_BCE,Aux_Dice,Main_IoU,Phase_Time(s)
1,0.0003,2.074855910407172,0.6066097882058885,0.9073862526151869,0.5025989459620581,0.8995506564776102,0.13995910736007822,20.442435264587402
2,0.0003,1.9242104371388753,0.5416173497835796,0.8946986635526021,0.35253123243649803,0.8672047946188185,0.22689287546608183,20.537822008132935
3,0.0003,1.82212442557017,0.4927574508719974,0.8866322980986701,0.2697779724995295,0.8370587348937988,0.2577721340788735,20.393171072006226
4,0.0003,1.7154202779134116,0.43696060180664065,0.8766275511847602,0.2104902148246765,0.7940900762875874,0.2774489227268431,20.455296754837036
5,0.0003,1.6257115205128987,0.385403307278951,0.8690026972028945,0.18194505158397886,0.7463187297185262,0.2872460722923279,20.403541564941406
6,0.0003,1.5408544407950506,0.335455322265625,0.8578835990693834,0.16767423335048887,0.7011145618226793,0.30092983643213905,20.65540385246277
7,0.0003,1.4650289800431993,0.2909925384653939,0.8436089290512933,0.16233720944987404,0.6637315763367547,0.30742123590575327,20.60518980026245
8,0.0003,1.4019162204530504,0.25403442680835725,0.8276102423667908,0.1640393281976382,0.6366395129097833,0.3173449907037947,20.49010157585144
9,0.0003,1.3161519077089099,0.2149867124027676,0.7983398728900486,0.1583301736248864,0.5987331019507514,0.3255918224652608,20.53515315055847
10,0.0003,1.252626281314426,0.18654248731003867,0.7623053471247355,0.1705094372232755,0.5889366587003072,0.3304973324139913,20.42207956314087
11,0.0003,1.1873133036825392,0.16931795991129345,0.7186382611592611,0.1653654505809148,0.5830272184477912,0.33751624359024895,20.39614772796631
12,0.0003,1.1291350563367208,0.15830164270268546,0.6767909367879231,0.16583912471930187,0.5692670345306396,0.34692372679710387,20.370866775512695
13,0.0003,1.1065234978993734,0.16213818523618911,0.6484439293543498,0.17369172390964296,0.5661616934670343,0.3466508766015371,20.540398836135864
14,0.0003,1.0615068316459655,0.15702533771594365,0.6129364530245464,0.1696216003762351,0.5592409743203057,0.355909714433882,20.38291072845459
15,0.0003,1.0361578265825908,0.1589012058244811,0.5901990089151594,0.16917442414495681,0.5484695825311873,0.3618338747156991,20.38791060447693
16,0.0003,1.0191936002837287,0.16246167570352554,0.5694460676776039,0.17302076584762996,0.5451938562923008,0.36417849196328056,20.4277982711792
17,0.0003,1.010703558391995,0.16362164566914242,0.5604050358136495,0.17061370975441403,0.546078446176317,0.3711624953481886,20.52260708808899
18,0.0003,1.0026464700698852,0.1619590977827708,0.556023633480072,0.16918803834252888,0.5424712697664896,0.36922774381107754,20.428873538970947
19,0.0003,0.9849941213925679,0.164582273695204,0.5400500867101882,0.16733109090063308,0.5335732976595561,0.3731444564130571,20.491147994995117
20,0.0003,0.9819318307770624,0.1685091977318128,0.5329389009210799,0.17139130640361044,0.5298179950979021,0.3775128960609436,20.580469131469727
21,0.0003,0.9746224761009217,0.16446079686284065,0.5312663694222768,0.16844321133361922,0.5287950343555874,0.38007606003019545,20.444106340408325
22,0.0003,0.9667893528938294,0.16807334538963106,0.5233567323949602,0.16739787583549817,0.5210003038247426,0.3818582508299086,20.530051708221436
23,0.0003,0.9556460486518012,0.16975404173135758,0.5134859124819438,0.1699841994378302,0.5110310071044498,0.38908876644240487,20.40261173248291
24,0.0003,0.9719605180952284,0.1730104406674703,0.52125689652231,0.17358089826173254,0.5206520577271779,0.37883752783139546,20.545778036117554
25,0.0003,0.9655304087532891,0.16932680192920896,0.5200130025545756,0.17005505288640657,0.5204214513301849,0.3851254940032959,20.46288275718689
