Epoch,LR,Total_Loss,Main_BCE,Main_Dice,Aux_BCE,Aux_Dice,Main_IoU,Phase_Time(s)
1,0.0003,1.3130552079942492,0.40946493678622775,0.9035902632607354,0.0,0.0,0.11639265716075897,18.637660026550293
2,0.0003,1.0767453167173597,0.2422630723979738,0.8344822525978088,0.0,0.0,0.2648804270558887,17.768167734146118
3,0.0003,0.9269894361495972,0.1804033453265826,0.7465860936376784,0.0,0.0,0.31925373574097954,17.717677116394043
4,0.0003,0.803420635064443,0.15333842568927342,0.6500822080506219,0.0,0.0,0.35688203440772165,17.66931676864624
5,0.0003,0.7403912822405497,0.15676486906078127,0.5836264140076107,0.0,0.0,0.37180554336971705,17.489198446273804
6,0.0003,0.7026610480414497,0.16099656381540828,0.5416644844743941,0.0,0.0,0.38427157865630257,17.542405605316162
7,0.0003,0.6851595441500345,0.16273690428998736,0.5224226428402795,0.0,0.0,0.39187502993477713,17.600624084472656
8,0.0003,0.6619733247492049,0.16273311525583267,0.49924020767211913,0.0,0.0,0.41044033964474996,17.588335514068604
9,0.0003,0.6578814539644453,0.16514733764860365,0.4927341130044725,0.0,0.0,0.40819898115264047,17.71205449104309
10,0.0003,0.6611963709195455,0.1691877597735988,0.49200861189100475,0.0,0.0,0.41415943569607205,17.881694793701172
11,0.0003,0.6447070446279314,0.16422626194026735,0.48048078616460166,0.0,0.0,0.41971933643023174,17.939784288406372
12,0.0003,0.6459011177221934,0.16684275584088432,0.4790583617157406,0.0,0.0,0.42739700145191617,17.959623336791992
13,0.0003,0.6363940371407403,0.16403544611401027,0.47235858837763467,0.0,0.0,0.43068223264482286,18.11882257461548
14,0.0003,0.6411509758896298,0.16648841549952825,0.47466256221135456,0.0,0.0,0.42613740762074787,18.009339570999146
15,0.0003,0.6258145252863566,0.15918832553757561,0.4666261984242333,0.0,0.0,0.4384490258163876,17.92662286758423
16,0.0003,0.6150529536936018,0.16282009027070468,0.45223286416795516,0.0,0.0,0.4422723372777303,18.16439914703369
17,0.0003,0.6011802838908301,0.15030572480625576,0.4508745617336697,0.0,0.0,0.4477730214595795,17.989170789718628
18,0.0003,0.6156706147723727,0.16383758336305618,0.45183303223715887,0.0,0.0,0.4433880627155304,18.07624840736389
19,0.0003,0.5890731301572588,0.15331926089194087,0.43575387001037597,0.0,0.0,0.4605609536170959,18.300289392471313
20,0.0003,0.5558510588275062,0.13439763651953804,0.4214534209834205,0.0,0.0,0.4630863169829051,18.353387355804443
