Epoch,LR,Total_Loss,Main_BCE,Main_Dice,Aux_BCE,Aux_Dice,Main_IoU,Phase_Time(s)
1,0.0003,1.6869882451163398,0.7910100380579631,0.8959782123565674,0.0,0.0,0.10188006137808164,17.744590282440186
2,0.0003,1.5609805054134793,0.6729121685028077,0.8880683382352194,0.0,0.0,0.2159250216351615,17.672152757644653
3,0.0003,1.3407616164949205,0.47008763882848953,0.8706739703814189,0.0,0.0,0.19758952657381693,17.727171659469604
4,0.0003,1.126526383558909,0.30220175915294223,0.8243246144718595,0.0,0.0,0.2477910816669464,17.867882251739502
5,0.0003,1.033785421318478,0.24681393404801685,0.7869714816411336,0.0,0.0,0.25856593681706325,17.715375185012817
6,0.0003,0.9684781922234429,0.22611435933245552,0.7423638343811035,0.0,0.0,0.2671502388185925,17.90611743927002
7,0.0003,0.925703948073917,0.21592555559343762,0.7097783962885539,0.0,0.0,0.27599239117569396,17.847315073013306
8,0.0003,0.8928538852267796,0.21411617911524242,0.6787377066082425,0.0,0.0,0.2944569064511193,17.876209259033203
9,0.0003,0.8656723618507385,0.21338539967934292,0.6522869560453627,0.0,0.0,0.30472431480884554,17.853270769119263
10,0.0003,0.8663669692145454,0.21738357527388466,0.6489833924505446,0.0,0.0,0.3066927750905355,17.855595588684082
11,0.0003,0.8491663628154331,0.21984609183337953,0.6293202718098958,0.0,0.0,0.3174694269895554,18.10084295272827
12,0.0003,0.8315774838129679,0.21823410275909635,0.6133433845308092,0.0,0.0,0.3281807972325219,17.831721782684326
13,0.0003,0.8311318649186028,0.22057336403263939,0.6105585032039218,0.0,0.0,0.33089121447669134,18.02976369857788
14,0.0003,0.8367317345407274,0.22566740860541662,0.6110643280877007,0.0,0.0,0.32493247389793395,17.897433280944824
15,0.0003,0.8156881226433648,0.22403411153290007,0.5916540039910211,0.0,0.0,0.3408272819386588,18.656521320343018
16,0.0003,0.7958427627881368,0.22651498549514346,0.5693277729882135,0.0,0.0,0.3485045866833793,18.02536630630493
17,0.0003,0.8030476305219862,0.22266363294588196,0.5803839988178677,0.0,0.0,0.3524268968237771,17.974315404891968
18,0.0003,0.7985473248693679,0.2259951992167367,0.572552125983768,0.0,0.0,0.3525113417042626,18.52183485031128
19,0.0003,0.7754648301336501,0.2172836144765218,0.5581812156571282,0.0,0.0,0.3647205902470483,18.449711084365845
20,0.0003,0.7746246794859568,0.22114161087407005,0.5534830689430237,0.0,0.0,0.3683668295542399,17.96852159500122
21,0.0003,0.7629128866725498,0.21489128437307145,0.5480215999815199,0.0,0.0,0.37740420434210037,17.633795022964478
22,0.0003,0.760348152452045,0.21523736930555767,0.5451107872856988,0.0,0.0,0.375382653872172,17.68461775779724
23,0.0003,0.7621289445294275,0.22047069941957792,0.5416582451926337,0.0,0.0,0.37979723347557914,17.684580087661743
24,0.0003,0.7426042728953891,0.21461300949255627,0.5279912617471483,0.0,0.0,0.3860163436995612,17.67704486846924
25,0.0003,0.739004906018575,0.21278835088014603,0.5262165480189853,0.0,0.0,0.3943560017479791,17.676283836364746
26,0.0003,0.7222568035125733,0.19994178000423643,0.5223150240050422,0.0,0.0,0.3990312721994188,17.495354413986206
27,0.0003,0.7363808353741964,0.1968233295612865,0.539557507303026,0.0,0.0,0.37951854268709817,17.564876794815063
28,0.0003,0.7398959994316101,0.21101857291327583,0.5288774251937867,0.0,0.0,0.3890951931476593,17.631033897399902
29,0.0003,0.720504531595442,0.20748563243283166,0.5130188981691997,0.0,0.0,0.4037958721319834,17.576382160186768
30,0.0003,0.7208569884300232,0.21344755730695195,0.5074094335238138,0.0,0.0,0.40249766442510815,17.72103524208069
