Threshold,AFMBWNetV2_Full_Precision,AFMBWNetV2_Full_Recall,Ablation (No ASPP)_Precision,Ablation (No ASPP)_Recall,Ablation (No AG)_Precision,Ablation (No AG)_Recall,Baseline (U-Net)_Precision,Baseline (U-Net)_Recall,Structure (U-Net++)_Precision,Structure (U-Net++)_Recall,Attention (TransUNet)_Precision,Attention (TransUNet)_Recall,Dual-Expert (White)_Precision,Dual-Expert (White)_Recall,Dual-Expert (Black)_Precision,Dual-Expert (Black)_Recall
0.1,0.8724076660392985,0.6764150669119706,0.5203398856903749,0.279079814400062,0.29721894677833244,0.5019185835074756,0.47364438018927546,0.2671959709491314,0.5018841445352524,0.21086311520019016,0.36921617465344525,0.3976275157977742,0.4706354275388282,0.0924577200097319,0.29357693304072185,0.5554777433601913
0.12758620689655173,0.879716562384443,0.6722422816734598,0.532155781895579,0.2667853741862661,0.32618349672044333,0.4787915295673024,0.4845928003009238,0.25298269219881453,0.5106211249907988,0.20167747904808878,0.3872517946972512,0.3795352452690837,0.4763652448996005,0.09063171204568489,0.303502561333302,0.5340675449526947
0.15517241379310345,0.885365983777874,0.6687193104422663,0.5410701184587068,0.2572957434122172,0.36464119700455383,0.45628929678801117,0.4926482473887147,0.24405871584714783,0.5168405603230009,0.19470192460219293,0.399027845034305,0.3669189584001722,0.48093215095896064,0.08921069020550751,0.30887809028650676,0.5132571748596447
0.1827586206896552,0.8900604247942823,0.6657431214841059,0.5487027030661344,0.2497545345439392,0.4057093086212443,0.42195269619256937,0.49837703352560564,0.23744734287788036,0.5217692009244108,0.18931928157297834,0.410451171297643,0.3555252807742274,0.48477947081983047,0.08805081810767429,0.3115280220755539,0.4923356121028624
0.21034482758620693,0.8941051473369322,0.6631586571394616,0.5552277644139851,0.24334871498514965,0.4374432875262414,0.381131217034308,0.5031964126750673,0.23209581339218724,0.525704448514962,0.18488534659212338,0.4220143065455888,0.3439444118290632,0.4881952174248949,0.08702254099719417,0.3119109032044428,0.46987418397081243
0.23793103448275865,0.8975957158642572,0.6608557448607822,0.5612018134584038,0.23777786052053468,0.45988705372004907,0.34736894184878714,0.5072702697167667,0.2274099097146174,0.5289000035747053,0.18111907765175375,0.43225673748733456,0.33335713604422407,0.4911770696930016,0.08609423527245517,0.31168001410017737,0.4473790920047884
0.2655172413793104,0.9007369351976878,0.6587170712872489,0.5665436055821899,0.2327833716982027,0.47662315621146006,0.3222934660028431,0.5113504376866983,0.2234334968409552,0.5317795189171062,0.1779378453412059,0.4409919508806215,0.32457954636453545,0.49383967491688213,0.08523223709948326,0.3112055234970626,0.42614639381279135
0.2931034482758621,0.903596524531583,0.6567446766512238,0.5714409806496447,0.22816938621139563,0.4912876758328992,0.3044618351584062,0.5148741637502225,0.2197886217261284,0.5342536709805874,0.17518506182669144,0.4488773514496497,0.31689297094046043,0.49626498800959234,0.08444215711727408,0.3112242653057013,0.4076787205294811
0.3206896551724138,0.9062105575242478,0.6547901340483667,0.5760487148340447,0.22398180928825984,0.5031976692857774,0.290718829967545,0.5182049048864416,0.2163819437395725,0.536414923060593,0.17270107892587888,0.4560876145631884,0.309868450917875,0.4987193626892472,0.08372348526773714,0.31171144040745047,0.39173889514276783
0.34827586206896555,0.9086559108109624,0.65292485161135,0.5805168611589886,0.2200645631530975,0.5131655829737903,0.27997343617464593,0.5213852641033958,0.2131695978855032,0.5382719946402458,0.17047467536077685,0.46255719656179173,0.3034391686869218,0.5010267635857601,0.08300532347629072,0.3127492418071083,0.3781330955782554
0.3758620689655173,0.9110266469033742,0.6511284270165529,0.5849073511145301,0.21640540641173622,0.5215865016015997,0.27100610488528537,0.524384871779855,0.21008068608933872,0.5402499877296598,0.16842985247589848,0.46823294104238683,0.2975602391356352,0.5029361710085841,0.0823004231951977,0.31441662019255145,0.36693017967816355
0.403448275862069,0.913282029612869,0.6493258817246697,0.5892686205134142,0.21288090500627116,0.5290914275632583,0.26309153349474973,0.5275128116860763,0.20712540951288944,0.542077304873857,0.1665064234165629,0.4735322696017829,0.2920725241397743,0.5049912290664951,0.08163989796797957,0.31702953253859045,0.3577210808538985
0.4310344827586208,0.9154296113162356,0.6476039256110878,0.5933343445944482,0.20948544829770663,0.5361350133169432,0.2562735869988233,0.5304401974098241,0.20420838729322882,0.5438647919214791,0.16465899301271422,0.478494751685227,0.28696735271180035,0.5069226962920398,0.08099263425111486,0.32131195596032647,0.3499870700274054
0.45862068965517244,0.9174717887259243,0.6458472855473509,0.5972895211664724,0.2061603796056333,0.542863407875983,0.2500258854480937,0.5333499993243517,0.20131737803618455,0.545707375024572,0.16283451522293874,0.4831761239957689,0.281914207209059,0.5091719848129898,0.08037291367113801,0.32908088403362834,0.3414675697415179
0.4862068965517242,0.9195190481148472,0.6441559329192001,0.6011608636075906,0.20296282543618893,0.5488908175584343,0.24419184100877248,0.5363192238522122,0.19850032720226507,0.5475307057999459,0.16107430475256826,0.48778770598536214,0.2770513133740802,0.511514766841921,0.0797450321617129,0.3385527619310554,0.3327516970907817
0.5137931034482759,0.9216175378390146,0.6424304063989847,0.6049147936617792,0.19972242638714124,0.5548355130194411,0.23874391054397184,0.5391011608530345,0.1957031686338757,0.5491648301783255,0.15925900800842208,0.4924065625305555,0.2722766595887606,0.5138131979897234,0.07910694949047747,0.3487202312031135,0.32489629243874585
